policy,n_requests,total_cost_usd,mean_ttft_ms,p50_ms,p90_ms,p99_ms,slo_ms,slo_violation_rate,hedge_rate,provider_mix
greedy_cost,21678,10.566636922794084,3857.205807033457,1347.1274780612152,9592.26294139081,19584.606751472013,3000.0,0.34952486391733556,0.0,"{""chutes_quota"": 0.6966509825629671, ""featherless_premium_concurrency"": 0.30334901743703296}"
greedy_latency,21678,120.3544320527937,634.1627489818209,429.9378692532578,1136.3825138613208,2843.6216573570155,3000.0,0.008626257034781806,0.0,"{""api_Inceptron"": 1.0}"
random,21678,137.27663326279387,3796.079825107197,1194.29057492695,8724.122085701156,39558.92675881165,3000.0,0.23567672294492112,0.0,"{""api_AtlasCloud"": 0.10563705138850447, ""api_Chutes"": 0.09724144293754036, ""api_DeepInfra"": 0.10429928960236184, ""api_Friendli"": 0.10171602546360366, ""api_Inceptron"": 0.10203893348094843, ""api_SambaNova"": 0.10383799243472645, ""api_SiliconFlow"": 0.10097794999538703, ""api_Venice"": 0.1010702094289141, ""chutes_quota"": 0.10328443583356398, ""featherless_premium_concurrency"": 0.07989666943444967}"
ablation_lp_only_alpha0,21678,18.326053672794067,3576.3607922165547,1265.7416230394294,9462.608298937455,19456.496823208116,3000.0,0.3247993357320786,0.0,"{""api_DeepInfra"": 0.03676538426054064, ""api_Inceptron"": 0.19254543777101207, ""chutes_quota"": 0.47891871943906267, ""featherless_premium_concurrency"": 0.2917704585293846}"
ablation_lp_only_alpha25,21678,68.89053677279416,1022.0302493751366,654.6677696437624,1475.4654388447148,8604.1567380875,3000.0,0.0417935233877664,0.0,"{""api_DeepInfra"": 0.004290063659009134, ""api_Inceptron"": 0.7364609281299013, ""chutes_quota"": 0.24033582433803857, ""featherless_premium_concurrency"": 0.01891318387305102}"
ablation_lp_only_alpha50,21678,99.71593915279347,709.7620693593302,484.7383046284529,1261.2987009740064,3454.3052328515955,3000.0,0.013516007011716949,0.0,"{""api_DeepInfra"": 4.612971676353907e-05, ""api_Inceptron"": 0.9188116984961713, ""chutes_quota"": 0.08114217178706523}"
ablation_lp_only_alpha75,21678,120.3544320527937,634.1627489818209,429.9378692532578,1136.3825138613208,2843.6216573570155,3000.0,0.008626257034781806,0.0,"{""api_Inceptron"": 1.0}"
ablation_lp_only_alpha100,21678,120.3544320527937,634.1627489818209,429.9378692532578,1136.3825138613208,2843.6216573570155,3000.0,0.008626257034781806,0.0,"{""api_Inceptron"": 1.0}"
