n_requests,slo_violation_rate,p50_ms,p99_ms,mean_cost,total_cost,hedge_rate,trial,policy
88843,0.14175568137050754,970.2332300366834,5691.543708089739,1.5465879919688343e-05,1.3740351697048714,0.0,0,cheapest_fixed
88843,0.07512128136150288,784.795437939465,6045.255150063895,7.537758059405941e-05,6.69677039271802,0.0,0,fastest_fixed
88843,0.22205463570568307,1209.247175953351,7059.725783646577,0.00010071633713149595,8.947941539773495,0.0,0,round_robin
88843,0.045979987168375674,549.6735579799861,5961.364546907134,8.104360666589322e-05,7.2001571470179515,0.0,0,oracle_per_window
88843,0.0820548608218993,997.856567031704,6106.944542960264,4.377154224773126e-05,3.888795127915188,0.0,0,lp_mix
88843,0.04849003297952568,937.9667160101236,5304.2117650760565,5.101651965089782e-05,4.532460655344715,0.4097790484337539,0,smart_hedge
64752,0.14970966147763776,1012.4029649887234,5838.899653987028,1.5465879919688343e-05,1.0014466565596596,0.0,1,cheapest_fixed
64752,0.04841549295774648,808.878781972453,5593.0097829550505,7.537758059405941e-05,4.880849098626535,0.0,1,fastest_fixed
64752,0.21423276501111935,1194.2224960075691,6892.2029746242215,0.00010071569429210661,6.521542636802487,0.0,1,round_robin
64752,0.055828391401037805,668.7451549805701,5981.246042996645,8.741816153741682e-05,5.660500795870814,0.0,1,oracle_per_window
64752,0.08937175685693106,1015.028259018436,6213.966505951248,4.386282397495584e-05,2.8402055780263407,0.0,1,lp_mix
64752,0.05624536693847294,948.6258489778264,4726.2346260249615,4.989615679118326e-05,3.2308759445426984,0.4744255003706449,1,smart_hedge
84176,0.13436133814864093,898.5570719232783,5774.25105497241,1.5465879919688343e-05,1.3018559081196859,0.0,2,cheapest_fixed
84180,0.0722024233784747,679.4628329807892,5574.749924009666,7.537758059405941e-05,6.345284734407921,0.0,2,fastest_fixed
84180,0.20601092896174864,1136.8411959847435,7072.733317967504,0.00010070567701749905,8.47740389133307,0.0,2,round_robin
84180,0.06718935614160133,492.9110719822347,6165.753721958026,8.322283065027209e-05,7.005697884139904,0.0,2,oracle_per_window
84180,0.07459016393442623,903.5856925183907,6006.626232992858,4.510207641237043e-05,3.796692792393343,0.0,2,lp_mix
84180,0.07324780232834402,860.8484859578311,4969.975486048497,4.4223151778276186e-05,3.7227049166952892,0.41006177239249225,2,smart_hedge
55539,0.12720790795657105,867.147168959491,5774.131419020705,1.5465879919688343e-05,0.8589595048595708,0.0,3,cheapest_fixed
55539,0.04908262662273358,606.98660206981,5943.644219078124,7.537758059405941e-05,4.186395448613466,0.0,3,fastest_fixed
55539,0.18511316372278938,1085.2402279851958,6787.842405028641,0.00010071872411180413,5.59381721844549,0.0,3,round_robin
55539,0.04870451394515565,465.2440729551018,5870.207360014319,8.769150431198415e-05,4.870298457983288,0.0,3,oracle_per_window
55539,0.07724301841948901,841.8038869276643,6013.18505499512,4.1624680582212847e-05,2.3117931348555194,0.0,3,lp_mix
55539,0.037037037037037035,809.5780099974945,4167.5381579306,5.137747914881115e-05,2.8534538144458224,0.42339617205927366,3,smart_hedge
95258,0.1333956203153541,939.5311929984018,5847.75315807201,1.5465879919688343e-05,1.4732487893896722,0.0,4,cheapest_fixed
95258,0.04978059585546621,728.885111049749,5791.927797021344,7.537758059405941e-05,7.180317572228911,0.0,4,fastest_fixed
95258,0.2081399987402633,1147.2265010233968,6856.297644088045,0.00010071563225970512,9.593969697794991,0.0,4,round_robin
95258,0.05354930819458733,561.33644701913,5961.364546907134,8.411517763847618e-05,8.012643591485965,0.0,4,oracle_per_window
95258,0.08033970900081883,967.7528149913996,6160.008616978303,4.4262054476507795e-05,4.2163147853231795,0.0,4,lp_mix
95258,0.05231056709147788,881.2045389786363,5607.206769986078,5.088821084075648e-05,4.847509188268781,0.42689327930462534,4,smart_hedge
66354,0.12370015372095126,849.4347099913284,5838.899653987028,1.5465879919688343e-05,1.0262229961910003,0.0,5,cheapest_fixed
66354,0.03621484763541007,568.2739464682527,5921.502970973961,7.537758059405941e-05,5.001603982738218,0.0,5,fastest_fixed
66354,0.17789432438134853,1069.363206042908,6608.363680075854,0.00010071755262768553,6.683012487057446,0.0,5,round_robin
66354,0.049718178256020734,472.98018098808825,5870.207360014319,8.399273378337993e-05,5.573253857462392,0.0,5,oracle_per_window
66354,0.07021430509087621,852.2282079793513,6166.414347011596,4.670827393018486e-05,3.099280808363486,0.0,5,lp_mix
66354,0.04843717032884227,822.3720460664481,5690.810302970931,4.6898817271870795e-05,3.1119241212577147,0.30694457003345693,5,smart_hedge
91124,0.13184232474430446,954.1876309085636,5745.81269803457,1.5465879919688343e-05,1.4093128418016805,0.0,6,cheapest_fixed
91124,0.06787454457662087,716.7890890268609,6176.076140021905,7.537758059405941e-05,6.86870665405307,0.0,6,fastest_fixed
91124,0.21868004038453098,1197.0582565409131,7109.583616023883,0.00010071872411180413,9.17789301596404,0.0,6,round_robin
