timestamp,request_id,policy,selected_provider,actual_provider,ttft_ms,e2e_ms,status,slo_violated,cost_usd,cost_is_estimated,hedge_triggered,hedge_provider,hedge_winner,prompt_tokens,completion_tokens,error_message
1775841763.532133,362b3b59,cheapest_fixed,WandB,WandB,372.6101329084486,6243.834574939683,success,False,2.8611e-05,False,False,,,33,256,
1775841763.5229375,7b9e8b9f,sort_price,__or_sort__:price,DeepInfra,1306.3485800521448,13629.517912049778,success,False,2.766357e-05,False,False,,,33,256,
1775841763.522904,a8f721e6,openrouter_auto,,DeepInfra,1673.3447409933433,13653.308013919741,success,False,2.766357e-05,False,False,,,33,256,
1775841784.4874802,80988f16,sort_latency,__or_sort__:latency,Friendli,469.20623793266714,1154.2422319762409,success,False,4.7718e-05,False,False,,,29,53,
1775841784.485425,4f72042a,sort_throughput,__or_sort__:throughput,Google,638.1318570347503,1160.366871044971,success,False,5.24898e-05,False,False,,,29,53,
1775841784.4900053,db008da2,lp_mix,Google,Google,737.0945560978726,1214.35816003941,success,False,5.24898e-05,False,False,,,29,53,
1775841784.4978058,fb83d619,cheapest_fixed,WandB,WandB,376.7895100172609,1535.5376789811999,success,False,8.118e-06,False,False,,,29,53,
1775841784.4930937,f6fdbcef,smart_hedge,Alibaba,Alibaba,746.9711303710938,1602.132797241211,success,False,3.5669205e-05,False,False,Novita,primary,29,53,
1775841784.4830353,4577cadc,openrouter_auto,,AtlasCloud,1393.7158619519323,2327.960988972336,success,False,5.19156e-05,False,False,,,29,53,
1775841784.483143,c7236914,sort_price,__or_sort__:price,DeepInfra,506.70774991158396,2871.065530925989,success,False,7.28541e-06,False,False,,,29,53,
1775841797.5694597,probe_Alibaba,_probing,Alibaba,Alibaba,606.9528489606455,739.5821550162509,success,False,6.51222e-06,False,False,,,16,7,
1775841798.8133337,probe_AtlasClo,_probing,AtlasCloud,AtlasCloud,994.7523250011727,1087.7086700638756,success,False,9.2664e-06,False,False,,,16,7,
