policy,n_trials,slo_violation_rate_mean,slo_violation_rate_ci_lo,slo_violation_rate_ci_hi,p50_ms_mean,p50_ms_ci_lo,p50_ms_ci_hi,p99_ms_mean,p99_ms_ci_lo,p99_ms_ci_hi,mean_cost_mean,mean_cost_ci_lo,mean_cost_ci_hi,hedge_rate_mean,hedge_rate_ci_lo,hedge_rate_ci_hi
cheapest_fixed,100,0.13813345635397956,0.11672934701718837,0.16350808059904073,939.8936896712985,738.1233172185603,1125.5941215466007,5738.067030859666,5591.294593454222,5912.57172167534,1.5465879919688347e-05,1.5465879919688343e-05,1.5465879919688343e-05,0.0,0.0,0.0
fastest_fixed,100,0.05804066086688774,0.03758316579945175,0.07682319683716887,712.729617911973,522.0250921352999,943.265625016647,5899.373526142769,5557.355836924398,6126.477094949223,7.537758059405944e-05,7.537758059405941e-05,7.537758059405941e-05,0.0,0.0,0.0
lp_mix,100,0.08126026590185984,0.06586867648964485,0.10147491036378697,937.8634832857642,728.0692050466314,1159.1284111724235,6136.738597866322,5902.798931585858,6295.839331735624,4.4904671652995776e-05,4.035902180711368e-05,5.956188350520357e-05,0.0,0.0,0.0
oracle_per_window,100,0.05061550374649311,0.03126745789405331,0.07125568640350827,566.492789486656,417.45858496578876,837.1525589580411,6009.132482014829,5418.473493040074,6550.84360006731,8.485935311700465e-05,8.003673747508476e-05,9.195802554222017e-05,0.0,0.0,0.0
round_robin,100,0.20801816251749242,0.16916479207643237,0.25624246048470545,1162.5925368169555,997.6487226624158,1328.4242062305561,7004.219217398122,6613.251123676309,7403.303091663553,0.00010070584616188159,0.00010064491508280527,0.00010071931149882959,0.0,0.0,0.0
smart_hedge,100,0.05308658427217952,0.03626244494967672,0.08245859487017015,884.3573499913327,701.4460258407053,1069.9108196597078,5009.411029876807,4133.411466344842,5758.439076392096,4.9352518058002195e-05,3.800218941793515e-05,5.7267395979190544e-05,0.413645967683502,0.2332713511525521,0.5154234093225246
