window_dt,provider,count,p50_ms,p90_ms,p95_ms,p99_ms
2026-04-10 17:15:00,Alibaba,38,736.0161509132013,1086.9764328002934,1284.253355109831,1974.6152740810091
2026-04-10 17:15:00,Google,37,683.4538500988856,1075.5565217696128,1215.028637018986,1267.8716925391927
2026-04-10 17:15:00,Novita,10,1210.6216219835915,2160.260656918397,4448.125227447594,6278.41688387096
2026-04-10 17:15:00,WandB,40,376.52359798084944,484.5839876215905,627.2646400146186,773.0662458029109
2026-04-10 17:30:00,Alibaba,24,684.0374512830749,958.7472554296255,1006.2499027291778,4627.089514330726
2026-04-10 17:30:00,Google,45,613.8125220313668,1057.811890006997,1153.9551327703518,1818.9534563804073
2026-04-10 17:30:00,Novita,16,1208.8717889855616,1702.6802589534782,2958.748995239148,5548.78501583007
2026-04-10 17:30:00,WandB,81,364.4530773162842,559.5219135284424,756.6523620625958,2779.9392748158443
2026-04-10 17:45:00,Alibaba,19,644.2527669714764,1408.2052707672117,1517.2981977462762,1764.9727773666382
2026-04-10 17:45:00,Google,44,482.90635203011334,686.0463003744372,734.0808727720287,904.4517433305737
2026-04-10 17:45:00,Novita,17,1126.068367040716,1455.040641175583,1579.8195041250433,1950.972503228113
2026-04-10 17:45:00,WandB,148,373.7812669714913,561.4420275087468,674.8651711968706,915.9655616781675
2026-04-10 18:00:00,Alibaba,39,964.0511150937529,1679.9010753631599,2165.3422519564633,4691.895203432059
2026-04-10 18:00:00,Google,244,890.8438684884459,1489.9536659359007,1824.641631171107,2129.1100683028344
2026-04-10 18:00:00,Novita,66,1929.9751470680349,7086.151161522139,7203.738228010479,7560.219658579444
2026-04-10 18:00:00,WandB,915,769.1874109441414,1326.6024677781388,1554.477948718704,2607.6126094209117
2026-04-10 18:15:00,Alibaba,2581,1409.949541091919,1992.7172660827637,2210.8538150787354,2828.227738942939
2026-04-10 18:15:00,Google,5720,1289.173299446702,1841.6704886360098,2040.1993278588634,2484.62117198622
2026-04-10 18:15:00,Novita,3784,2068.272413976956,2807.1287464001216,5293.6313813260995,7407.4357562325895
2026-04-10 18:15:00,WandB,19237,1067.9088779725134,1581.8991149542856,1783.4756374359133,2616.8195907771483
