created_at, provider, input_len, billed_prompt_len, billed_output_len, cached_tokens, duration (ms)
1760722460, harvard_openai, 10, 25, 1, 0, 755
1760722463, harvard_openai, 10, 25, 1, 0, 567
1760722463, harvard_openai, 100, 25, 1, 0, 389
1760722466, harvard_openai, 100, 25, 1, 0, 571
1760722580, harvard_openai, 10, 25, 1, 0, 439
1760722582, harvard_openai, 10, 25, 1, 0, 498
1760722583, harvard_openai, 100, 25, 1, 0, 393
1760722585, harvard_openai, 100, 25, 1, 0, 626
1760722701, harvard_openai, 10, 25, 1, 0, 543
1760722704, harvard_openai, 10, 25, 1, 0, 509
1760722704, harvard_openai, 100, 25, 1, 0, 496
1760722707, harvard_openai, 100, 25, 1, 0, 621
1760722825, harvard_openai, 10, 25, 1, 0, 444
1760722827, harvard_openai, 10, 25, 1, 0, 642
1760722828, harvard_openai, 100, 25, 1, 0, 573
1760722831, harvard_openai, 100, 25, 1, 0, 585
1760722944, harvard_openai, 10, 25, 1, 0, 1253
1760722947, harvard_openai, 10, 25, 1, 0, 750
1760722948, harvard_openai, 100, 25, 1, 0, 892
1760722950, harvard_openai, 100, 25, 1, 0, 899
1760723069, harvard_openai, 10, 25, 1, 0, 573
1760723071, harvard_openai, 10, 25, 1, 0, 626
1760723072, harvard_openai, 100, 25, 1, 0, 652
1760723075, harvard_openai, 100, 25, 1, 0, 438
1760723192, harvard_openai, 10, 25, 1, 0, 332
1760723194, harvard_openai, 10, 25, 1, 0, 586
1760723195, harvard_openai, 100, 25, 1, 0, 365
1760723197, harvard_openai, 100, 25, 1, 0, 587
1760723310, harvard_openai, 10, 25, 1, 0, 419
1760723312, harvard_openai, 10, 25, 1, 0, 1674
1760723314, harvard_openai, 100, 25, 1, 0, 584
1760723316, harvard_openai, 100, 25, 1, 0, 1121
1760723431, harvard_openai, 10, 25, 1, 0, 470
1760723434, harvard_openai, 10, 25, 1, 0, 688
1760723434, harvard_openai, 100, 25, 1, 0, 555
1760723437, harvard_openai, 100, 25, 1, 0, 345
1760723550, harvard_openai, 10, 25, 1, 0, 533
1760723553, harvard_openai, 10, 25, 1, 0, 555
1760723553, harvard_openai, 100, 25, 1, 0, 327
1760723556, harvard_openai, 100, 25, 1, 0, 756
1760723675, harvard_openai, 10, 25, 1, 0, 715
1760723678, harvard_openai, 10, 25, 1, 0, 3073
1760723681, harvard_openai, 100, 25, 1, 0, 2339
1760723685, harvard_openai, 100, 25, 1, 0, 528
1760723797, harvard_openai, 10, 25, 1, 0, 636
1760723800, harvard_openai, 10, 25, 1, 0, 448
1760723800, harvard_openai, 100, 25, 1, 0, 438
1760723802, harvard_openai, 100, 25, 1, 0, 461
1760723914, harvard_openai, 10, 25, 1, 0, 494
1760723917, harvard_openai, 10, 25, 1, 0, 1175
1760723918, harvard_openai, 100, 25, 1, 0, 1366
1760723921, harvard_openai, 100, 25, 1, 0, 535
1760724046, harvard_openai, 10, 25, 1, 0, 474
1760724048, harvard_openai, 10, 25, 1, 0, 333
1760724049, harvard_openai, 100, 25, 1, 0, 762
1760724052, harvard_openai, 100, 25, 1, 0, 592
